"Classical"	"Basal"	"Exo"	"hgnc_symbol"
"CFTR"	-0.354398935121069	-1.60656099455994	1.04811939151988	"CFTR"
"AOC1"	2.20673694970765	-0.91920109182904	-2.09039616478637	"AOC1"
"SLC7A2"	-1.1682589262318	1.39986027671569	-0.183751312541	"SLC7A2"
"PRKAR2B"	-0.723110867533688	0.602294739865659	0.208238759941117	"PRKAR2B"
"ITGA3"	-0.456939075005916	2.36224188809006	-2.27652508871633	"ITGA3"
"USH1C"	1.76266027620653	-0.536732908377079	-1.73636078991502	"USH1C"
"DNAH9"	-0.308033374424881	0.440376837073891	-0.0045862160292466	"DNAH9"
"IYD"	2.74407649700434	-1.95175183378825	-2.22591456191401	"IYD"
"ANLN"	-0.634576805628807	2.43814126165519	-2.09854218703638	"ANLN"
"ANGEL1"	-0.0125196501184747	0.863506911500155	-0.681481165898237	"ANGEL1"
"MTMR11"	1.92647786552988	-0.267661983397446	-2.27885793909567	"MTMR11"
"ZNF582"	0.085051599764072	0.661380831747885	-0.523088035497648	"ZNF582"
"VSIG2"	1.97771436276522	-0.385046483445946	-2.22932943907706	"VSIG2"
"ARNTL2"	-0.528770616217571	2.36411637353218	-2.12953235061265	"ARNTL2"
"C6"	-1.07422423530109	-1.3672359473975	1.58458277627847	"C6"
"LMO3"	-0.0563594933171962	-0.159147285996737	0.133797709246488	"LMO3"
"KIAA2022"	-0.892498286334334	0.847531529237949	0.169562555805945	"KIAA2022"
"FAM160A2"	1.12191190370863	0.269038288128064	-1.54793450954555	"FAM160A2"
"DCBLD2"	-1.51446982658565	2.73212621530106	-1.54081875310301	"DCBLD2"
"LAMC2"	-0.898604275445718	2.69524690898157	-2.21210505529273	"LAMC2"
"SLC6A16"	-0.270861836983029	0.596066812046468	-0.141386091911188	"SLC6A16"
"BCAS1"	2.14143932372184	-0.723943518000373	-2.15696575371416	"BCAS1"
"CTNNA2"	-0.699838881506395	1.26269677223199	-0.301278799765693	"CTNNA2"
"CLDN18"	3.19294185929699	-1.55218338206095	-3.18825303975492	"CLDN18"
"MSANTD3"	-0.189106342682851	1.70453154105521	-1.48740104467436	"MSANTD3"
"PRR11"	-0.556143126409047	2.28112058753036	-1.87044619287044	"PRR11"
"PLA2G10"	2.73185525145723	-1.33691432841894	-2.537495330264	"PLA2G10"
"NDST1"	-0.471112993377111	1.40066895138763	-0.78112757411255	"NDST1"
"TRIP13"	-0.368360620988969	2.25720120724697	-2.09509263356568	"TRIP13"
"GSDMB"	1.64310821863158	0.144460580582659	-2.29066866977949	"GSDMB"
"ATP2A3"	1.20500113283196	-0.763429361253153	-0.853103838913709	"ATP2A3"
"ENO1"	-0.291639963725314	1.90725954407026	-1.69086990301691	"ENO1"
"ACAT1"	-0.262659387258659	0.87310243456091	-0.432868042071034	"ACAT1"
"CELSR1"	-0.397657859053961	2.0858784532036	-1.82864357589191	"CELSR1"
"FSCN1"	-0.535385221854064	2.3708511549243	-2.14983056012522	"FSCN1"
"CTTNBP2"	-0.216262695116822	-0.0291152327644553	0.207010394768613	"CTTNBP2"
"CAPN6"	1.07769915605682	-1.64219334860877	-0.378378273289663	"CAPN6"
"DNM2"	0.986311702492935	0.607437629863233	-1.75071700374923	"DNM2"
"SLC4A4"	-0.383038834480732	-1.63132510535558	1.08006476854381	"SLC4A4"
"SMARCD3"	-0.184251389039121	0.608673261760875	-0.275657568446048	"SMARCD3"
"PLOD1"	-0.596061173567003	2.15821592956822	-1.67386337919792	"PLOD1"
"KIAA1467"	-0.639951952278138	1.8845653806391	-1.13903196489325	"KIAA1467"
"HSD17B2"	1.72662593342122	-0.954421109821772	-1.39285915427821	"HSD17B2"
"F11"	-0.750437917525397	-1.20043628099581	1.17711514762254	"F11"
"LYZ"	2.04627801577972	-1.86987812355559	-1.36510713178067	"LYZ"
"CERS4"	-0.475375992587684	0.473696473051562	0.100142690604094	"CERS4"
"NRCAM"	-0.747255298230764	0.398868705985888	0.380404433554877	"NRCAM"
"ABCC6"	0.815520382694896	-0.746175478441465	-0.457411728454071	"ABCC6"
"CPA1"	-4.65649519030122	-3.55125625105382	4.87942772004089	"CPA1"
"MYH7"	-2.43069166861266	1.16555207058868	0.729197149078125	"MYH7"
"EPB41L4B"	0.811568945120644	-0.295808166955579	-0.669891278258068	"EPB41L4B"
"TBC1D2"	-0.16794286060931	2.05889358139268	-2.15214735969159	"TBC1D2"
"SEMA4G"	1.89370895796008	-0.648436545510103	-1.83624817107752	"SEMA4G"
"BLNK"	1.58551016104069	-0.675580076456075	-1.38376902390848	"BLNK"
"EFNA2"	2.79712366341862	-1.19482412824878	-2.69355312451396	"EFNA2"
"CDHR5"	2.36821494836486	-0.907962702750397	-2.35811404874508	"CDHR5"
"CECR2"	-0.299447028453009	0.771923797043819	-0.195271288806918	"CECR2"
"SLC7A4"	1.89684315980831	-0.307099771622059	-2.10742808219064	"SLC7A4"
"LGALS2"	0.747335074687898	-1.36045369989404	-0.129825258557868	"LGALS2"
"SYNGR1"	-0.239721801613169	0.376865121742996	-0.0384742864277379	"SYNGR1"
"KCNK10"	2.64152525579637	-1.59583670994291	-2.26350383416978	"KCNK10"
"PYGL"	-0.737657649922333	2.25522506235543	-1.63502606723592	"PYGL"
"PIGH"	0.649581871466746	0.570388596454574	-1.16833952320486	"PIGH"
"GALNT16"	-0.50606768459129	-0.0708818754642407	0.486729648810981	"GALNT16"
"HNF4A"	1.69512447000577	-0.482141000342065	-1.68004636885462	"HNF4A"
"TPD52L2"	-0.144752359380827	1.74185090163096	-1.63350455451406	"TPD52L2"
"PTK6"	1.0618141818799	0.972712053699235	-2.51464575128467	"PTK6"
"MYLK2"	-1.8236696537011	-0.457927127260888	1.61739271736023	"MYLK2"
"TLDC2"	2.07431588944492	-0.948524222323297	-1.87327642311934	"TLDC2"
"PAK7"	-0.485712324464136	-0.643762267130032	0.673241229348813	"PAK7"
"PCYT1B"	-0.512519325166301	0.940053216591781	-0.165303836025533	"PCYT1B"
"BEX4"	-0.326749354107685	0.818335671631507	-0.320762057052702	"BEX4"
"MAPK3"	1.0195291299318	0.569667401097533	-1.75268811105746	"MAPK3"
"CBLN1"	-0.348151843250095	-0.105403838358844	0.331311187479447	"CBLN1"
"ESRP2"	1.07050486364562	0.555371684978858	-1.81031425163309	"ESRP2"
"AQP8"	-4.08831151239217	-3.37215280331788	4.43689441184338	"AQP8"
"TMC5"	1.47014892654757	-0.00701261742530941	-1.79517846420633	"TMC5"
"HOMER2"	-0.377911892312	-0.0219279432862447	0.35828895989882	"HOMER2"
"FAM189A1"	-0.875481540376038	0.640870882275828	0.315179643456364	"FAM189A1"
"TUBB4A"	-0.796449385188933	-0.819427161112905	1.02354062831275	"TUBB4A"
"TJP3"	1.78822690645199	-0.433630797592728	-1.86544267197513	"TJP3"
"PTPRS"	-0.679454418029947	1.21965317936342	-0.389167123082691	"PTPRS"
"FAM83E"	1.9528953921187	-0.265249211121508	-2.32169988891884	"FAM83E"
"RUNDC3B"	-0.423277933816858	0.511133030156595	0.0431277542928004	"RUNDC3B"
"CAV1"	-1.78186575004471	3.11306672393004	-1.87349410613859	"CAV1"
"VIPR2"	-1.03750513102418	-0.241019792108202	0.950343891507941	"VIPR2"
"CHN2"	1.15913490064473	-0.189193110296255	-1.16163421162194	"CHN2"
"CYP3A5"	1.90890984336797	-0.587994800547592	-1.91320023289633	"CYP3A5"
"POU6F2"	-0.727536461959975	-0.353184994396712	0.78888017235001	"POU6F2"
"AMBP"	-0.838894815600001	-1.75681197033888	1.51320078951098	"AMBP"
"PIP5K1B"	2.35199630000467	-1.49497878284345	-1.92893482835012	"PIP5K1B"
"SORCS1"	-0.789745078212032	-0.00180415272554806	0.653093897725807	"SORCS1"
"PBLD"	1.61866228017042	-0.767852505170202	-1.36508546942772	"PBLD"
"RAPGEFL1"	1.8683169546614	-0.159361445259239	-2.30568384695201	"RAPGEFL1"
"P2RX1"	-0.530287931174926	-0.440493042085481	0.695397094655082	"P2RX1"
"PPARGC1A"	0.968078786741473	-1.04932342828067	-0.481355783876752	"PPARGC1A"
"SLC1A2"	-1.17853127507509	-0.764463784071254	1.32251453659984	"SLC1A2"
"APOBEC1"	3.47432643189437	-2.0432578184794	-3.17939812380585	"APOBEC1"
"C7"	-0.680656847346224	-0.739648392212672	1.00665027286295	"C7"
"BTNL8"	3.55421664092501	-2.88736669421613	-2.93405280567436	"BTNL8"
"RBP1"	-1.34786925227145	1.95476724274531	-0.662111472931396	"RBP1"
"SERPINI2"	-3.79990084582398	-2.84488805951434	4.04344958428256	"SERPINI2"
"PLXNA1"	-0.992195739442791	2.52852821577647	-1.77228154039939	"PLXNA1"
"GRB14"	-0.462129324495098	0.0517612698796956	0.372621452270258	"GRB14"
"ACADL"	-0.612434193530298	-0.409638115620051	0.718874995588634	"ACADL"
"REG1A"	-2.5680794233386	-2.42182041949888	3.10169130835805	"REG1A"
"MLPH"	1.48173764553528	0.19345421450103	-2.06154387135911	"MLPH"
"SDC1"	0.377828290836067	1.56214727816041	-2.23346477769309	"SDC1"
"ANGPTL1"	-1.32284625198216	-0.0643114761503048	1.10655344240502	"ANGPTL1"
"RHOU"	0.657465684575339	-0.287977419150649	-0.502003636664143	"RHOU"
"C1orf21"	1.06296540793312	-0.190749262661262	-1.04736981809414	"C1orf21"
"NR5A2"	-0.0437248358295572	-1.00280592034019	0.542026426921837	"NR5A2"
"PROX1"	-0.341061261816446	-0.73958958166737	0.699047871736322	"PROX1"
"MARC2"	0.76221253746808	0.0903671959892728	-0.888991888593015	"MARC2"
"AKAP7"	-0.462687371677543	-0.769478225164319	0.818506485381788	"AKAP7"
"SFRP5"	-0.686325449773793	-1.19000196030829	1.19533403881034	"SFRP5"
"KCNJ5"	-1.51296759360891	1.27771002472934	0.202048782768749	"KCNJ5"
"TEX11"	-0.489923632365212	-0.792996503712007	0.749575670514435	"TEX11"
"KIAA0922"	-0.603132874183309	1.23755365895369	-0.462451785394685	"KIAA0922"
"FLT3"	-0.997497793523529	-1.09409028299505	1.33002245135538	"FLT3"
"PLAU"	-0.988169885346219	2.7048733424969	-2.09401109592254	"PLAU"
"ITIH5"	-0.790988112560235	0.00795361179290597	0.680193003978942	"ITIH5"
"DAW1"	-2.1541661331168	5.02995887376655	-3.87624623892024	"DAW1"
"RBPJL"	-3.74796127717549	-3.07680639640331	4.08627100880155	"RBPJL"
"PAIP2B"	-0.486193837123979	0.272530327248368	0.26195828946311	"PAIP2B"
"UNC5CL"	1.22511532219163	-0.810658893955965	-0.8550154981004	"UNC5CL"
"APOBEC2"	-0.910208577507623	-0.969559956979883	1.25020613949841	"APOBEC2"
"EREG"	-1.2301345394468	3.38797619046821	-3.14349728078491	"EREG"
"SDCBP2"	1.45112698405327	0.187952012344035	-1.99570854652212	"SDCBP2"
"KIRREL2"	-0.236847789065695	-0.575104096710137	0.502907896238708	"KIRREL2"
"RHOJ"	-0.479516800529247	0.762766594112511	-0.133650904919087	"RHOJ"
"TSPAN8"	1.85374024350138	-0.759180891493157	-1.69287110444583	"TSPAN8"
"ZNF835"	-0.307138430726676	0.665963016947936	-0.162154233485267	"ZNF835"
"ASPHD2"	1.83262248859208	0.00595939980866244	-2.41174799765501	"ASPHD2"
"BAIAP2L2"	2.25578134947448	-0.743500709419401	-2.32865659987987	"BAIAP2L2"
"ELL3"	2.09658536123957	0.116540758085786	-2.51496045121013	"ELL3"
"CALML4"	1.58084040896053	-0.196755970071073	-1.75335440569027	"CALML4"
"CDO1"	-0.0304693870701452	-0.0515023598288203	0.0461078507596078	"CDO1"
"CBFA2T3"	0.37210395297524	0.0571056073908714	-0.415291517212801	"CBFA2T3"
"GAMT"	-0.403364302181783	0.192338079398702	0.240063977701268	"GAMT"
"PLVAP"	-0.107211343828449	0.573297843083897	-0.32440782625619	"PLVAP"
"COLGALT1"	-0.123928231042695	1.74549426140426	-1.67160878050346	"COLGALT1"
