"Classical"	"Basal"	"Exo"	"Imm"	"hgnc_symbol"
"TSPAN6"	-0.0702533410991984	0.235279211221736	0.0676499987240415	-0.281029123027699	"TSPAN6"
"TNMD"	-1.45402343488614	-0.614503509353264	-0.774230371589623	2.46612519164712	"TNMD"
"DPM1"	0.0238538825584005	0.216863063712793	-0.323728393177486	-0.198109423163555	"DPM1"
"SCYL3"	0.556599265247945	-0.486818833990194	-0.203390180807386	-0.299520406945921	"SCYL3"
"C1orf112"	0.0454788627106016	0.241151490704028	-0.517147471035773	-0.182476713423059	"C1orf112"
"FGR"	-0.429912168274087	-0.634973600195716	0.215921860488937	1.16197295661062	"FGR"
"CFH"	-0.682505144120788	0.0814051373724713	0.434277175397366	0.721191513127873	"CFH"
"STPG1"	0.0471897588155621	0.262054765976395	-0.402405614809888	-0.286591127088054	"STPG1"
"SEMA3F"	-0.361024005732939	0.708338435012827	-0.533568739099508	-0.183272475029314	"SEMA3F"
"CFTR"	0.340370405671978	-1.24506735080526	1.84833336736141	-1.63350000202773	"CFTR"
"ANKIB1"	-0.0531570014324202	0.218770719673708	-0.311555057562312	-0.0528640853797059	"ANKIB1"
"CYP51A1"	0.855465773044036	-0.593527355542687	-0.524374246910452	-0.608282939491964	"CYP51A1"
"MYH16"	-1.70796456092973	2.75871466227392	-2.13126707599206	-2.00147200350704	"MYH16"
"CD99"	-0.264517286485953	-0.00569827062200138	-0.31246556458278	0.594357857224809	"CD99"
"HS3ST1"	0.947871545763552	-0.283302814310741	-0.794849740570803	-1.32979465303814	"HS3ST1"
"AOC1"	1.88179424358615	-1.49194127113304	-1.18303224801204	-1.43986950578665	"AOC1"
"LASP1"	0.231984713819565	0.0704490102013563	-0.421325787275866	-0.339384134016286	"LASP1"
"TMEM176A"	0.726821526713143	-0.672233615095468	-0.658062926940556	-0.165884433731224	"TMEM176A"
"KLHL13"	-0.680346024902301	-0.60592772791006	1.29427250506827	0.771426976882999	"KLHL13"
"CYP26B1"	-1.06356393519578	0.120665917737504	-0.279437288533648	1.43266216963442	"CYP26B1"
"ICA1"	0.927104424038162	-0.573533147025994	-0.574919622889988	-0.796148246190992	"ICA1"
"DBNDD1"	0.922681097213603	-0.270163289908268	-0.763963403423531	-1.30651298364961	"DBNDD1"
"CASP10"	0.611042770284489	-0.46668891472136	-0.215898658771472	-0.441863468195233	"CASP10"
"MTMR7"	-0.913463701746112	-0.707102395358463	0.0324400218192317	1.83273173187224	"MTMR7"
"SLC7A2"	-1.3395453798901	-0.322555084449922	0.862985210306293	1.54749712894972	"SLC7A2"
